id_casa,LotFrontage,LotArea,Street,Condition1,Condition2,YearBuilt,ExterQual,FullBath,BedroomAbvGr,SalePrice,Color,email_info
514,55.0,10594,Pave,Norm,Norm,1926.0,TA,1,2.0,96500,,otaunyiedqht@gmail.com
1402,64.0,6762,Pave,Norm,Norm,2006.0,Gd,2,2.0,193879,,hkeilbpdwxdq@yahoo.com.br
1305,108.0,13173,Pave,Norm,Norm,2006.0,Gd,2,2.0,325000,,rijw@icloud.com
118,90.0,12376,Pave,Norm,Norm,1990.0,TA,3,5.0,320000,,pwztxesak@gmail.com
610,,11050,Pave,PosN,Norm,2000.0,Gd,2,3.0,313000,,di@hotmail.com
1077,,15870,Pave,Norm,Norm,1969.0,TA,1,3.0,138800,,oykpmpyqmn@yahoo.com.br
524,95.0,11787,Pave,Norm,Norm,1996.0,Gd,2,3.0,315750,,mdmtpfz@gmail.com
955,82.0,7136,Pave,Norm,Norm,1946.0,TA,2,4.0,145000,,yhlfu@hotmail.com
540,85.0,14601,Pave,Norm,Norm,2006.0,Ex,2,2.0,315000,,wdqmqdqxrg@hotmail.com
606,82.0,12464,Pave,Norm,Norm,1996.0,TA,1,3.0,152000,,tuhk@icloud.com
662,120.0,13560,Pave,Norm,Norm,1968.0,TA,1,2.0,110000,,wqisimlz@gmail.com
1328,60.0,10440,Pave,Norm,Norm,1920.0,Gd,2,5.0,256000,,johjiiqyl@hotmail.com
1057,,29959,Pave,Norm,Norm,1994.0,Gd,2,3.0,248000,,qbpevf@hotmail.com
987,83.0,10159,Pave,Norm,Norm,2009.0,Ex,2,3.0,395192,,ceu@icloud.com
416,74.0,7844,Pave,Norm,Norm,1978.0,TA,1,3.0,149500,,fpjctu@yahoo.com.br
193,24.0,2522,Pave,Norm,Norm,2004.0,Gd,2,3.0,130000,,cktb@yahoo.com.br
1030,,7082,Pave,Norm,Norm,1916.0,TA,2,5.0,160000,,gsfijumzvb@yahoo.com.br
473,110.0,14977,Pave,Norm,Norm,2006.0,Gd,2,2.0,440000,,cofqiemuxhie@icloud.com
1374,85.0,10625,Pave,Norm,Norm,2005.0,Gd,2,3.0,250000,,jsmxecwtkj@hotmail.com
45,61.0,7658,Pave,Norm,Norm,2005.0,Ex,2,2.0,319900,,og@icloud.com
1318,,14781,Pave,Norm,Norm,2001.0,Gd,2,3.0,275000,,osqbbnqxrng@icloud.com
1242,85.0,10625,Pave,Norm,Norm,1974.0,TA,2,,170000,,nbkvhq@gmail.com
313,150.0,215245,Pave,Norm,Norm,1965.0,TA,2,3.0,375000,,mj@icloud.com
855,,6897,Pave,Norm,Norm,1962.0,TA,1,3.0,127000,,wjtjtgco@icloud.com
19,70.0,7560,Pave,Norm,Norm,1958.0,TA,1,3.0,139000,,knelh@hotmail.com
1375,89.0,10991,Pave,Norm,Norm,2007.0,Gd,2,3.0,239000,,chwry@icloud.com
567,70.0,10171,Pave,Norm,Norm,2004.0,Gd,2,3.0,214000,,nthfdrnz@gmail.com
1369,48.0,10635,,Norm,Norm,2003.0,Gd,2,3.0,232000,,lrdqy@hotmail.com
483,32.0,4500,Pave,Norm,Norm,1998.0,TA,2,2.0,164000,,mreq@icloud.com
106,60.0,10800,Pave,Norm,Norm,1885.0,TA,1,2.0,100000,,xvbqhfte@gmail.com
1396,,57200,Pave,Norm,Norm,1948.0,TA,1,3.0,160000,,fwrq@hotmail.com
1369,48.0,10635,,Norm,Norm,2003.0,Gd,2,3.0,232000,,lrdqy@hotmail.com
700,85.0,14331,Pave,Norm,Norm,2002.0,Gd,2,3.0,312500,,bd@gmail.com
18,66.0,13695,Pave,RRAe,Norm,2004.0,TA,1,3.0,159000,,brfxiydh@icloud.com
1370,90.0,5400,Pave,Artery,Norm,1920.0,Fa,1,2.0,105000,,tdgjvosze@hotmail.com
882,,9636,Pave,Norm,Norm,1992.0,TA,2,3.0,178000,,bnnldgwpq@yahoo.com.br
1016,73.0,11883,Pave,Norm,Norm,1996.0,Gd,2,3.0,203000,,bbpugqev@yahoo.com.br
1263,60.0,13515,Pave,Norm,Norm,1919.0,TA,1,3.0,180500,,rbjzkgjh@gmail.com
656,72.0,10007,Pave,Norm,Norm,1959.0,Gd,1,3.0,145500,,awyeatdbnyzr@gmail.com
1307,60.0,8072,Pave,Norm,Norm,1994.0,TA,1,3.0,138000,,xv@gmail.com
5,85.0,14115,Pave,Norm,Norm,1993.0,TA,1,1.0,143000,,jjoep@hotmail.com
1400,50.0,6000,Pave,Norm,Norm,1929.0,TA,1,3.0,120000,,yta@yahoo.com.br
783,,9101,Pave,Norm,Norm,1978.0,TA,1,1.0,165500,,ri@hotmail.com
789,,12205,Pave,Norm,Norm,1966.0,TA,2,5.0,187500,,srteswqazvbf@gmail.com
399,65.0,8125,Pave,Norm,Norm,2006.0,Gd,2,2.0,241000,,rak@yahoo.com.br
270,84.0,10728,Pave,Norm,Norm,2006.0,Gd,2,3.0,266000,,meuayg@icloud.com
200,80.0,8546,Pave,Norm,Norm,2003.0,TA,2,2.0,140000,,og@gmail.com
565,66.0,6858,Pave,Norm,Norm,1915.0,TA,1,4.0,128000,,davbpudu@hotmail.com
663,90.0,10012,Pave,Norm,Norm,1972.0,TA,2,3.0,137500,,gxuhxcz@gmail.com
222,85.0,11475,Pave,RRAn,Norm,1975.0,TA,2,3.0,179900,,rrliheoaj@gmail.com
513,71.0,9187,Pave,Norm,Norm,1983.0,TA,1,3.0,134000,,eeitutyq@gmail.com
1113,66.0,8923,Pave,Norm,Norm,1953.0,TA,1,2.0,134500,,hozmvyovuwv@hotmail.com
467,79.0,9480,Pave,Artery,Norm,1942.0,TA,1,,146500,,qsvuzusvo@yahoo.com.br
117,74.0,8536,Pave,Norm,Norm,2006.0,TA,1,2.0,155000,,pxttwwvlgn@gmail.com
951,60.0,7800,Pave,Norm,Norm,1965.0,TA,1,3.0,119900,,gxyjznmyiuft@icloud.com
636,51.0,6120,Pave,Norm,Norm,1936.0,Fa,1,1.0,60000,,uyi@icloud.com
1080,80.0,11040,Pave,Norm,Norm,1971.0,Gd,2,3.0,145000,,gvtumhcev@icloud.com
711,66.0,8712,Pave,Norm,Norm,,TA,1,2.0,102776,,gjziwnpvrwk@icloud.com
1366,68.0,9179,Pave,Norm,Norm,1999.0,Gd,2,3.0,193000,,taicglzr@icloud.com
596,60.0,3600,Pave,Norm,Norm,1910.0,TA,1,3.0,114504,,jyxna@gmail.com
106,60.0,10800,Pave,Norm,Norm,1885.0,TA,1,2.0,100000,,xvbqhfte@gmail.com
763,82.0,9430,Pave,Norm,Norm,1999.0,Gd,2,3.0,337000,,dhmcmydpd@yahoo.com.br
757,,11616,,Norm,Norm,1978.0,TA,2,3.0,158900,,pvhae@hotmail.com
522,50.0,5000,Pave,Feedr,Norm,1947.0,TA,2,3.0,159000,,vh@gmail.com
473,110.0,14977,Pave,Norm,Norm,2006.0,Gd,2,2.0,440000,,cofqiemuxhie@icloud.com
1274,53.0,5362,Pave,Norm,Norm,1910.0,TA,2,3.0,139000,,twxvczfreclk@hotmail.com
392,,8339,Pave,Norm,Norm,1959.0,TA,1,3.0,106500,,bzoakjs@gmail.com
574,70.0,10500,Pave,Norm,Norm,1971.0,TA,1,3.0,139000,,rz@yahoo.com.br
1120,59.0,8263,Pave,Norm,Norm,1920.0,TA,1,2.0,118400,,nr@gmail.com
884,65.0,7150,Pave,Norm,Norm,1967.0,TA,1,3.0,100000,,efymsi@gmail.com
1005,65.0,8385,Pave,Norm,Norm,1977.0,Gd,2,3.0,149900,,vpczt@icloud.com
924,79.0,10240,Pave,Norm,Norm,1980.0,TA,2,3.0,207500,,qdtb@gmail.com
112,77.0,9965,Pave,Norm,Norm,2007.0,Gd,2,4.0,383970,,gd@hotmail.com
538,,11553,Pave,Norm,Norm,1968.0,TA,1,3.0,158000,,bqzposo@yahoo.com.br
545,,13837,Pave,Norm,Norm,1988.0,Gd,2,,229000,,qmt@hotmail.com
1275,95.0,11345,Pave,Feedr,Norm,1948.0,TA,2,4.0,137000,,pb@yahoo.com.br
782,67.0,16285,Pave,Norm,Norm,2001.0,Gd,2,3.0,187100,,pg@hotmail.com
89,60.0,8070,Pave,Norm,Norm,1994.0,TA,1,3.0,123600,,um@yahoo.com.br
827,65.0,8529,Pave,Norm,Norm,2001.0,Gd,2,3.0,189000,,xpzkc@icloud.com
1396,,57200,Pave,Norm,Norm,1948.0,TA,1,3.0,160000,,fwrq@hotmail.com
589,50.0,9100,Pave,RRAn,Feedr,1930.0,TA,1,2.0,79500,,iec@icloud.com
1036,89.0,12898,Pave,Norm,Norm,2007.0,Gd,2,2.0,315500,,tyiwk@gmail.com
1308,100.0,12000,Pave,Norm,Norm,1948.0,TA,1,2.0,147000,,yagln@hotmail.com
423,80.0,9200,Pave,Norm,Norm,1998.0,Gd,2,4.0,315000,,ptiux@icloud.com
1296,80.0,8700,Pave,Norm,Norm,1963.0,TA,2,3.0,155000,,hlnmtyskew@hotmail.com
802,63.0,8199,,Norm,Norm,2005.0,Gd,2,3.0,189000,,ohamhr@hotmail.com
1005,65.0,8385,Pave,Norm,Norm,1977.0,Gd,2,3.0,149900,,vpczt@icloud.com
534,74.0,9056,Pave,Norm,Norm,2004.0,Gd,2,3.0,178000,,tpiuzarlo@yahoo.com.br
914,30.0,3000,Pave,Norm,Norm,2009.0,Gd,2,2.0,173733,,xvqynjrb@gmail.com
1158,92.0,11932,,Feedr,Norm,2007.0,Gd,2,3.0,235128,,xhbscetf@yahoo.com.br
73,85.0,10200,Pave,Norm,Norm,1954.0,TA,1,3.0,144900,,xgmrqpep@gmail.com
57,89.0,11645,Pave,Norm,Norm,2004.0,Gd,2,3.0,196500,,eqhijnd@yahoo.com.br
758,24.0,2280,Pave,Norm,Norm,1999.0,TA,2,3.0,179400,,qgwqfvkkbr@hotmail.com
819,44.0,6371,Pave,Norm,Norm,2009.0,Gd,2,2.0,224000,,imyh@gmail.com
115,34.0,3230,Pave,Norm,Norm,1999.0,TA,2,2.0,176000,,qsjpfdfqnb@hotmail.com
1280,67.0,9808,Pave,Norm,Norm,2002.0,Gd,2,3.0,227000,,nswzqs@yahoo.com.br
186,,9947,Pave,Norm,Norm,1990.0,TA,2,3.0,173000,,iqhbtp@hotmail.com
40,84.0,8658,Pave,Norm,Norm,1965.0,TA,2,3.0,160000,,xnbpxphi@hotmail.com
306,116.0,13474,Pave,Feedr,Norm,1990.0,Gd,2,4.0,225000,,qxrjqjzk@hotmail.com
856,,10970,Pave,Norm,Norm,1978.0,TA,1,3.0,147000,,aneazycqqkf@hotmail.com
115,34.0,3230,Pave,Norm,Norm,1999.0,TA,2,2.0,176000,,qsjpfdfqnb@hotmail.com
1008,43.0,12118,Pave,Norm,Norm,2004.0,Gd,2,3.0,240000,,asvrkxs@icloud.com
574,70.0,10500,Pave,Norm,Norm,1971.0,TA,1,3.0,139000,,rz@yahoo.com.br
331,70.0,8176,Pave,Norm,Norm,1958.0,TA,1,3.0,139000,,nwzunhiyswdd@gmail.com
21,57.0,7449,Pave,Norm,Norm,1930.0,TA,1,3.0,139400,,stipmc@gmail.com
400,38.0,14963,Pave,Norm,Norm,1996.0,Gd,1,1.0,245500,,fwqntmhv@hotmail.com
816,,11425,Pave,Norm,Norm,1954.0,TA,1,2.0,137000,,tu@hotmail.com
44,70.0,7945,Pave,Norm,Norm,1959.0,TA,1,3.0,141000,,fxcu@gmail.com
15,51.0,6120,Pave,Norm,Norm,1929.0,TA,1,2.0,132000,,dmfez@gmail.com
528,58.0,9098,Pave,Norm,Norm,1920.0,TA,1,2.0,86000,,mcetpvwky@gmail.com
1405,44.0,3842,Pave,Norm,Norm,2004.0,Gd,2,2.0,275000,,nucwtpttay@icloud.com
453,75.0,9000,Pave,Norm,Norm,2008.0,Gd,2,3.0,210000,,ktungneyty@yahoo.com.br
451,62.0,70761,Pave,Norm,Norm,1975.0,TA,2,2.0,280000,,muplye@gmail.com
733,80.0,10000,Pave,Feedr,Norm,1961.0,TA,1,3.0,131400,,ibicvfswmyv@hotmail.com
1156,85.0,9350,Pave,Norm,Norm,1965.0,TA,2,3.0,179900,,wxjr@yahoo.com.br
245,80.0,10400,,Norm,Norm,1988.0,TA,2,3.0,241500,,ohnkaaun@yahoo.com.br
677,52.0,9022,Pave,Norm,Norm,1924.0,Gd,1,2.0,109500,,pjjdm@icloud.com
1379,73.0,9735,Pave,Norm,Norm,2006.0,TA,2,3.0,167500,,gy@icloud.com
1082,70.0,8749,Pave,Norm,Norm,2002.0,Gd,2,3.0,192000,,ne@gmail.com
435,43.0,10667,Pave,PosN,Norm,1996.0,Gd,2,3.0,212000,,fviebe@icloud.com
287,,8125,Pave,Norm,Norm,1971.0,TA,1,3.0,88000,,yaki@icloud.com
708,65.0,9018,,Norm,Norm,2007.0,Gd,2,3.0,179540,,zgxochcsg@gmail.com
897,64.0,7018,Pave,Feedr,Norm,1979.0,TA,2,6.0,142953,,gbwynqjdqiy@yahoo.com.br
918,103.0,13125,Pave,Norm,Norm,1991.0,Gd,2,4.0,238000,,jdklydubd@gmail.com
869,80.0,9938,Pave,Norm,Norm,1993.0,Gd,2,3.0,236000,,hioemhgogpp@gmail.com
976,51.0,5900,Pave,Norm,Norm,1923.0,TA,1,2.0,85500,,mjtdwuwt@gmail.com
1277,,17871,Pave,Norm,Norm,1967.0,TA,1,3.0,197900,,gvffhkutdfhc@gmail.com
172,44.0,5306,Pave,Norm,Norm,1987.0,Gd,2,2.0,239000,,wb@gmail.com
70,95.0,13651,Pave,Norm,Norm,1973.0,TA,2,3.0,244000,,dweqqitpvui@icloud.com
458,,5100,Pave,Norm,Norm,1925.0,TA,1,3.0,161000,,oxlh@icloud.com
853,,12095,Pave,Norm,Norm,1964.0,TA,1,3.0,158000,,tltsukp@gmail.com
891,70.0,11184,Pave,Norm,Norm,1978.0,TA,2,3.0,172500,,olwgbro@yahoo.com.br
807,144.0,21384,Pave,Norm,Norm,1923.0,TA,1,3.0,223500,,la@gmail.com
516,,10448,Pave,Norm,Norm,1972.0,TA,2,3.0,158000,,sgamiimfh@icloud.com
889,128.0,12160,Pave,Feedr,Norm,1953.0,TA,1,2.0,149500,,hgccxakyj@hotmail.com
1015,70.0,8400,Pave,Norm,Norm,2001.0,Gd,2,3.0,227000,,pbnp@icloud.com
62,44.0,6442,Pave,Norm,Norm,2006.0,Gd,2,2.0,202500,,inyk@gmail.com
472,35.0,3675,Pave,Norm,Norm,2005.0,TA,1,2.0,148000,,jdwukgiwvoqu@icloud.com
89,60.0,8070,Pave,Norm,Norm,1994.0,TA,1,3.0,123600,,um@yahoo.com.br
842,82.0,9020,Pave,Norm,Norm,1966.0,TA,1,3.0,174900,,xnlokjz@gmail.com
247,75.0,11310,Pave,Norm,Norm,1954.0,TA,1,2.0,140000,,tzafqktieqv@icloud.com
722,70.0,8120,,Norm,Norm,1970.0,TA,1,3.0,124500,,snyoybinh@hotmail.com
558,57.0,21872,Pave,Norm,Norm,1996.0,TA,2,3.0,175000,,hlo@icloud.com
455,80.0,9600,Pave,Norm,Norm,1973.0,TA,1,3.0,175500,,jbufohha@gmail.com
566,77.0,11198,Pave,Norm,Norm,2005.0,Gd,2,4.0,325000,,ffdueawprt@yahoo.com.br
158,100.0,12552,Pave,Norm,Norm,2004.0,Gd,2,3.0,254900,,iitmkp@icloud.com
457,,53227,Pave,Norm,Norm,1954.0,TA,1,2.0,256000,,zuxjescvwdg@hotmail.com
1020,60.0,7024,Pave,Norm,Norm,2005.0,TA,1,2.0,176000,,lnzenhx@gmail.com
1356,,9477,Pave,Norm,Norm,1966.0,TA,1,3.0,110000,,haah@yahoo.com.br
646,60.0,7200,Pave,Norm,Norm,1950.0,TA,1,3.0,98300,,ghyfctgas@gmail.com
794,,10832,Pave,Norm,Norm,1994.0,Gd,2,3.0,194500,,wfcdetm@hotmail.com
831,30.0,3180,Pave,Norm,Norm,2005.0,TA,2,2.0,151000,,vrfyr@yahoo.com.br
738,60.0,10800,Pave,Norm,Norm,1987.0,TA,3,3.0,179000,,rwed@gmail.com
311,50.0,8000,Pave,Norm,Norm,1948.0,TA,1,2.0,132000,,ykshl@gmail.com
712,40.0,4671,Pave,Norm,Norm,1988.0,Gd,2,2.0,189000,,wcuchcxwtt@gmail.com
610,,11050,Pave,PosN,Norm,2000.0,Gd,2,3.0,313000,,di@hotmail.com
422,100.0,21750,Pave,Artery,Norm,1954.0,TA,1,2.0,113000,,dgmpby@hotmail.com
729,52.0,6240,Pave,Norm,Norm,1925.0,TA,1,2.0,103000,,qafcecq@hotmail.com
688,60.0,8089,Pave,Norm,Norm,2007.0,Gd,2,2.0,392000,,oa@yahoo.com.br
905,80.0,9920,Pave,Norm,Norm,1954.0,TA,1,3.0,128000,,hzrj@hotmail.com
952,60.0,7200,Pave,Norm,Norm,1972.0,TA,1,2.0,133900,,wkpnjrrk@yahoo.com.br
1245,78.0,12090,Pave,Norm,Norm,1984.0,TA,3,3.0,178000,,lum@icloud.com
1326,70.0,4270,Pave,Norm,Norm,1931.0,TA,1,3.0,79000,,siitah@hotmail.com
905,80.0,9920,Pave,Norm,Norm,1954.0,TA,1,3.0,128000,,hzrj@hotmail.com
548,49.0,8235,Pave,Feedr,RRNn,1955.0,TA,1,2.0,125000,,sd@hotmail.com
1089,37.0,3316,Pave,Norm,Norm,2005.0,Gd,1,1.0,197000,,maebz@gmail.com
248,72.0,11317,Pave,Norm,Norm,2003.0,Gd,2,3.0,180000,,dwstzlpfzjki@yahoo.com.br
472,35.0,3675,Pave,Norm,Norm,2005.0,TA,1,2.0,148000,,jdwukgiwvoqu@icloud.com
465,,3072,Pave,Norm,Norm,2004.0,Gd,2,2.0,178740,,smbqkzbac@hotmail.com
330,,10624,,Norm,Norm,1964.0,TA,2,6.0,119000,,kiwvy@gmail.com
746,,8795,Pave,Norm,Norm,2000.0,Gd,2,4.0,236000,,irvdchppsa@yahoo.com.br
1378,21.0,1953,Pave,Norm,Norm,1973.0,TA,1,2.0,83000,,jjjx@hotmail.com
924,79.0,10240,Pave,Norm,Norm,1980.0,TA,2,3.0,207500,,qdtb@gmail.com
644,85.0,9187,Pave,Norm,Norm,2009.0,Ex,2,2.0,370878,,uhzjahgecfbw@icloud.com
1162,109.0,8724,Pave,Norm,Norm,1968.0,TA,1,3.0,129000,,teysuoh@gmail.com
687,,5105,Pave,Norm,Norm,2004.0,Gd,2,,148800,,lhsb@hotmail.com
17,72.0,10791,,Norm,Norm,1967.0,TA,2,2.0,90000,,dmmrkloiium@hotmail.com
1089,37.0,3316,Pave,Norm,Norm,2005.0,Gd,1,1.0,197000,,maebz@gmail.com
52,110.0,8472,Grvl,RRNn,Norm,1963.0,Fa,1,2.0,110000,,quad@gmail.com
777,100.0,13350,Pave,Norm,Norm,1974.0,TA,1,3.0,142500,,afjeeq@icloud.com
141,78.0,11645,Pave,Norm,Norm,2005.0,Gd,2,3.0,260000,,cccl@gmail.com
737,72.0,10463,Pave,Norm,Norm,2005.0,Gd,2,3.0,239900,,pyqaxbkswep@yahoo.com.br
1434,80.0,17400,,Norm,Norm,,TA,2,3.0,160000,,fatjbrmg@gmail.com
1134,57.0,8773,Pave,Norm,Norm,1997.0,TA,2,3.0,169000,,loxhiopdd@yahoo.com.br
827,65.0,8529,Pave,Norm,Norm,2001.0,Gd,2,3.0,189000,,xpzkc@icloud.com
131,,12224,Pave,Norm,Norm,2000.0,Gd,2,3.0,244000,,azs@yahoo.com.br
522,50.0,5000,Pave,Feedr,Norm,1947.0,TA,2,3.0,159000,,vh@gmail.com
156,60.0,7200,Pave,Norm,Norm,1950.0,TA,1,2.0,109500,,csiskzprxjff@yahoo.com.br
335,,164660,Grvl,Norm,Norm,1965.0,TA,2,3.0,228950,,qd@gmail.com
508,60.0,9600,Pave,Norm,Norm,1928.0,TA,2,3.0,161000,,uaepzi@hotmail.com
693,60.0,5400,Pave,Norm,Norm,1921.0,TA,1,2.0,108480,,wyg@yahoo.com.br
423,80.0,9200,Pave,Norm,Norm,1998.0,Gd,2,4.0,315000,,ptiux@icloud.com
130,88.0,14200,Pave,Norm,Norm,1966.0,TA,2,4.0,226000,,oddqsfaqaw@gmail.com
373,79.0,10634,Pave,Norm,Norm,1953.0,TA,1,3.0,123000,,tuwddeuqglh@hotmail.com
641,,7050,Pave,Norm,Norm,2001.0,Gd,2,3.0,226000,,telziwcpd@gmail.com
1086,,1974,Pave,Norm,Norm,1973.0,TA,1,3.0,83500,,auhlzyurc@icloud.com
1369,48.0,10635,,Norm,Norm,2003.0,Gd,2,3.0,232000,,lrdqy@hotmail.com
663,90.0,10012,Pave,Norm,Norm,1972.0,TA,2,3.0,137500,,gxuhxcz@gmail.com
159,134.0,19378,Pave,Norm,Norm,2005.0,Gd,2,4.0,320000,,vdyyrebp@hotmail.com
854,102.0,17920,Pave,Norm,Norm,1955.0,TA,1,3.0,170000,,qbvpjfuiyh@gmail.com
954,35.0,9400,Pave,Norm,Norm,1975.0,TA,2,4.0,127500,,htmduzify@gmail.com
739,65.0,9313,Pave,Norm,Norm,2004.0,Gd,2,3.0,190000,,lqmhswzkac@gmail.com
980,,12122,Pave,Norm,Norm,1961.0,Ex,1,3.0,178400,,xiduwb@gmail.com
8,51.0,6120,Pave,Artery,Norm,1931.0,TA,2,2.0,129900,,mztupte@yahoo.com.br
1440,79.0,11526,,Norm,Norm,1922.0,TA,2,3.0,191000,,whg@gmail.com
1226,86.0,14598,Pave,Feedr,Norm,2007.0,Gd,2,4.0,214000,,sirrs@yahoo.com.br
236,65.0,8773,Pave,Norm,Norm,2004.0,Gd,2,3.0,185500,,gpgz@hotmail.com
1131,63.0,10712,Pave,Norm,Norm,1991.0,TA,1,3.0,93500,,yfzpteeo@icloud.com
486,79.0,10289,Pave,Norm,Norm,1965.0,TA,1,3.0,156000,,vkggm@icloud.com
1219,21.0,1680,,Norm,Norm,1971.0,TA,1,3.0,91500,,racyximbwfe@icloud.com
877,74.0,8834,Pave,Norm,Norm,2004.0,Gd,2,4.0,350000,,ynmfyhmrp@hotmail.com
